GLASSVIK,10443629,175,Bookcases & shelving units,        Glass door/          60x38 cm,IKEA of Sweden,38,60
GALANT,20365188,575,Bookcases & shelving units,        Shelf unit/          80x120 cm,K Malmvall/E Lilja Löwenhielm,120,80
LAPPVIKEN,40364060,38.5,Bookcases & shelving units,        Door/          60x64 cm,IKEA of Sweden,64,60
NOTVIKEN,70443626,100,Bookcases & shelving units,        Door/drawer front/          60x38 cm,704.436.26 The front may be used as a door or as a drawer front.You can choose to mount the door on the right or left side.The doors keep your belongings hidden and free from dust.To be completed with BESTÅ hinges if used as door. Sold separately.To be completed with BESTÅ drawer frame 60x25x40 cm and BESTÅ drawer runner if used as drawer front. Sold separately.May be completed with knobs or handles. Sold separately.Drill template for marking of hole positions for handles or knobs is sold separately.,38,60
OXBERG,30323367,200,Bookcases & shelving units,        Glass door/          40x192 cm,K Hagberg/M Hagberg,192,40
BERGHALLA,80322855,22,Bookcases & shelving units,        Handle/          56 mm,H Preutz/A Fredriksson,,9
SULARP,40390766,45.5,Bookcases & shelving units,        Leg,Carl Öjerstam,10,
MÖLLARP,70265247,17,Bookcases & shelving units,        Handle/          106 mm,K Hagberg/M Hagberg,,9
HACKÅS,80339790,17,Bookcases & shelving units,        Knob/          15 mm,J Löfgren/J Pettersson,,24
ORRNÄS,30236153,17,Bookcases & shelving units,        Knob/          17 mm,IKEA of Sweden,,17
VEBERÖD,10343328,645,Bookcases & shelving units,        Shelving unit/          45x181 cm,Gustav Carlberg,181,45
MOSSARYD,70370352,29,Bookcases & shelving units,        Drop handle/          49 mm,Francis Cayouette,,
LAXVIKEN,90291698,175,Bookcases & shelving units,        Door/          60x64 cm,IKEA of Sweden,64,60
VASSVIKEN,414255,150,Bookcases & shelving units,        Door/          60x64 cm,IKEA of Sweden,,
HISHULT,20273141,17,Bookcases & shelving units,        Knob/          23 mm,K Hagberg/M Hagberg,,
KLACKBERG,30373164,35,Bookcases & shelving units,        Knob/          35 mm,Charlie Styrbjörn,,
BEKANT,10373495,1495,Bookcases & shelving units,        Shelving unit/          121x134 cm,Eva Lilja Löwenhielm,134,121
BJÄRRED,70348894,49,Bookcases & shelving units,        Handle/          175 mm,H Preutz/A Fredriksson,,
UPPLEVA,20330599,199,Bookcases & shelving units,"        Bracket for TV/ swivel/          37-55 ""","203.305.99 The TV-bracket can be angled for change of viewing position, and easy access to cables and connections.The TV bracket has integrated cable management so you can easily gather and conceal wires for a neater TV solution.UPPLEVA TV-brackets are VESA-compatibleFits most 37-55"" flat screen TVs.Fits MOSTORP, MALSJÖ and BESTÅ TV benches.",,
HANVIKEN,60294797,50,Bookcases & shelving units,        Drawer front/          60x26 cm,Marcus Arvonen,26,60
KALLRÖR,50357002,25,Bookcases & shelving units,        Handle/          213 mm,IKEA of Sweden,,
SINDVIK,90291858,150,Bookcases & shelving units,        Glass door/          60x64 cm,Marcus Arvonen,64,60
KALLVIKEN,10364523,170,Bookcases & shelving units,        Door/          60x64 cm,IKEA of Sweden,64,60
KLIMPEN,10353765,345,Bookcases & shelving units,        Table leg with storage/          58x70 cm,Tina Christensen,70,58
STALLARP,20390574,45,Bookcases & shelving units,        Leg,Carl Öjerstam,10,4
TIMMERVIKEN,60441562,60,Bookcases & shelving units,        Drawer front/          60x26 cm,"604.415.62 Drawers make it easy to keep your things organised.To be completed with BESTÅ drawer frame 60X15X40 cm and BESTÅ drawer runner, sold separately.May be completed with knobs or handles. Sold separately.Drill template for marking of hole positions for handles or knobs is sold separately.",26,60
STOCKVIKEN,10441569,210,Bookcases & shelving units,        Door/          60x64 cm,104.415.69 You can choose to mount the door on the right or left side.To be completed with BESTÅ hinges.1 door requires 1 pack of hinges. Sold separately.May be completed with knobs or handles. Sold separately.Drill template for marking of hole positions for handles or knobs is sold separately.,64,60
ALGOT / SKÅDIS,19276414,598,Bookcases & shelving units,        Wall upright/shelves/rod/          132x41x199 cm,Francis Cayouette/Eva Lilja Löwenhielm,199,132
SKÄRHAMN,70348785,29,Bookcases & shelving units,        Knob/          22 mm,Ebba Strandmark,,
RIKSVIKEN,70441566,225,Bookcases & shelving units,        Door/          60x64 cm,704.415.66 You can choose to mount the door on the right or left side.To be completed with BESTÅ hinges.1 door requires 1 pack of hinges. Sold separately.May be completed with knobs or handles. Sold separately.Drill template for marking of hole positions for handles or knobs is sold separately.,64,60
ALGOT / BROR,69285473,1311,Bookcases & shelving units,        Shelving unit with cabinet/          162x41x162 cm,Francis Cayouette/IKEA of Sweden,162,162
DETOLF,10119206,295,Cabinets & cupboards,        Glass-door cabinet/          43x163 cm,IKEA of Sweden,163,43
SYVDE,30439565,595,Cabinets & cupboards,        Cabinet with glass doors/          100x123 cm,IKEA of Sweden,123,100
LIXHULT,59248867,580,Cabinets & cupboards,        Storage combination/          140x82 cm,Jon Karlsson,60,140
ROTHULT,359739,95,Cabinets & cupboards,        Smart lock,IKEA of Sweden,7,3
MILSBO,396416,995,Cabinets & cupboards,        Glass-door cabinet/          73x175 cm,Jonas Hultqvist,175,73
IKEA PS,10251451,425,Cabinets & cupboards,        Cabinet/          119x63 cm,Nicholai Wiig Hansen,63,119
FABRIKÖR,363171,636,Cabinets & cupboards,        Glass-door cabinet/          81x113 cm,Nike Karlsson,113,81
REGISSÖR,60342072,796,Cabinets & cupboards,        Cabinet/          118x110 cm,K Hagberg/M Hagberg,110,118
BRYGGJA,90421911,597,Cabinets & cupboards,        Storage unit/          120x173 cm,Ola Wihlborg,173,120
ERIK,70341005,595,Cabinets & cupboards,        File cabinet/          41x104 cm,IKEA of Sweden,104,41
MALSJÖ,327772,2100,Cabinets & cupboards,        Sideboard basic unit/          145x92 cm,Carina Bengs,92,145
HÄLLAN,49249396,875,Cabinets & cupboards,        Storage combination with doors/          45x47x167 cm,Jon Karlsson,167,45
IDÅSEN,30360977,995,Cabinets & cupboards,        High cabinet with drawer and doors/          45x172 cm,Jon Karlsson,172,45
LEIFARNE,19304209,275,Café furniture,        Chair with armrests,Mia Lagerman,87,53
STENSELE / RÖNNINGE,39297156,1140,Café furniture,        Table and 2 chairs,Maja Ganszyniec,,
RÖNNINGE,10422504,345,Café furniture,        Chair,Maja Ganszyniec,79,46
SVENBERTIL,49259743,275,Café furniture,        Chair with armrests,Mia Lagerman,84,53
MELLTORP / ADDE,49011766,179,Chairs,        Table and 2 chairs/          75 cm,Lisa Norinder/Marcus Arvonen,72,75
MALINDA,10209202,25,Chairs,        Chair cushion/          40/35x38x7 cm,IKEA of Sweden,,
BINGSTA,40455649,595,Chairs,        Armchair,Elizabet Gutierrez,76,70
SKRUVSTA,40472861,545,Chairs,        Swivel chair,"404.728.61 Height adjustable armchair which you can swivel to the desired height.Slim lines, easy to place.You sit comfortably since the chair is adjustable in height.The safety castors have a pressure-sensitive brake mechanism that keeps the chair in place when you stand up, and releases automatically when you sit down.This product has been developed and tested for domestic use.",79,69
LOBERGET / BLYSKÄR,79331865,155,Chairs,        Swivel chair,IKEA of Sweden/Carl Öjerstam,,67
STRANDMON,20456956,995,Chairs,        Wing chair,IKEA of Sweden,101,82
RENBERGET,20339420,175,Chairs,        Swivel chair,IKEA of Sweden,,59
SNILLE,79046260,125,Chairs,        Swivel chair,IKEA of Sweden,,67
PELLO,50078464,195,Chairs,        Armchair,IKEA of Sweden,96,67
